Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/13/2020,AQS,560050892,3,1.3,ug/m3 LC,5,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/14/2020,AQS,560050892,3,3.6,ug/m3 LC,15,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/15/2020,AQS,560050892,3,7.7,ug/m3 LC,32,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/16/2020,AQS,560050892,3,2.6,ug/m3 LC,11,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/17/2020,AQS,560050892,3,2.6,ug/m3 LC,11,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/18/2020,AQS,560050892,3,3.1,ug/m3 LC,13,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/19/2020,AQS,560050892,3,2.1,ug/m3 LC,9,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/20/2020,AQS,560050892,3,2.1,ug/m3 LC,9,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/21/2020,AQS,560050892,3,1.8,ug/m3 LC,8,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/22/2020,AQS,560050892,3,1.7,ug/m3 LC,7,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/23/2020,AQS,560050892,3,0.1,ug/m3 LC,0,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/24/2020,AQS,560050892,3,1.5,ug/m3 LC,6,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/25/2020,AQS,560050892,3,1.2,ug/m3 LC,5,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/26/2020,AQS,560050892,3,0.2,ug/m3 LC,1,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/27/2020,AQS,560050892,3,0.8,ug/m3 LC,3,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/28/2020,AQS,560050892,3,0.9,ug/m3 LC,4,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/29/2020,AQS,560050892,3,-0.2,ug/m3 LC,0,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/30/2020,AQS,560050892,3,0.7,ug/m3 LC,3,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/31/2020,AQS,560050892,3,1.1,ug/m3 LC,5,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/1/2020,AQS,560050892,3,0.5,ug/m3 LC,2,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/2/2020,AQS,560050892,3,0,ug/m3 LC,0,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/3/2020,AQS,560050892,3,1.3,ug/m3 LC,5,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/4/2020,AQS,560050892,3,1,ug/m3 LC,4,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/5/2020,AQS,560050892,3,1.3,ug/m3 LC,5,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/6/2020,AQS,560050892,3,1.2,ug/m3 LC,5,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/7/2020,AQS,560050892,3,0.9,ug/m3 LC,4,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/8/2020,AQS,560050892,3,3.6,ug/m3 LC,15,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/9/2020,AQS,560050892,3,2.6,ug/m3 LC,11,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/10/2020,AQS,560050892,3,1,ug/m3 LC,4,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/11/2020,AQS,560050892,3,0.5,ug/m3 LC,2,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/12/2020,AQS,560050892,3,2,ug/m3 LC,8,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/13/2020,AQS,560050892,3,3.3,ug/m3 LC,14,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/14/2020,AQS,560050892,3,2.1,ug/m3 LC,9,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/15/2020,AQS,560050892,3,0.6,ug/m3 LC,3,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/16/2020,AQS,560050892,3,1.5,ug/m3 LC,6,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/17/2020,AQS,560050892,3,1.3,ug/m3 LC,5,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/18/2020,AQS,560050892,3,2.3,ug/m3 LC,10,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/19/2020,AQS,560050892,3,4,ug/m3 LC,17,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/20/2020,AQS,560050892,3,2.3,ug/m3 LC,10,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/21/2020,AQS,560050892,3,1.8,ug/m3 LC,8,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/22/2020,AQS,560050892,3,2.5,ug/m3 LC,10,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/23/2020,AQS,560050892,3,1.5,ug/m3 LC,6,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/24/2020,AQS,560050892,3,1.5,ug/m3 LC,6,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/25/2020,AQS,560050892,3,2.4,ug/m3 LC,10,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/28/2020,AQS,560050892,3,0,ug/m3 LC,0,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
2/29/2020,AQS,560050892,3,0.3,ug/m3 LC,1,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/1/2020,AQS,560050892,3,0,ug/m3 LC,0,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/2/2020,AQS,560050892,3,1.6,ug/m3 LC,7,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/3/2020,AQS,560050892,3,0.9,ug/m3 LC,4,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/4/2020,AQS,560050892,3,0.9,ug/m3 LC,4,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/5/2020,AQS,560050892,3,0.1,ug/m3 LC,0,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/6/2020,AQS,560050892,3,0.5,ug/m3 LC,2,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/7/2020,AQS,560050892,3,1.3,ug/m3 LC,5,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/8/2020,AQS,560050892,3,3,ug/m3 LC,13,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/9/2020,AQS,560050892,3,1.9,ug/m3 LC,8,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/10/2020,AQS,560050892,3,0.5,ug/m3 LC,2,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/11/2020,AQS,560050892,3,1,ug/m3 LC,4,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/12/2020,AQS,560050892,3,1.3,ug/m3 LC,5,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/13/2020,AQS,560050892,3,0.8,ug/m3 LC,3,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
3/14/2020,AQS,560050892,3,1.1,ug/m3 LC,5,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
