Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2/29/2020,AQS,560050123,1,2.6,ppb,2,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/1/2020,AQS,560050123,1,3.7,ppb,3,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/2/2020,AQS,560050123,1,4.2,ppb,4,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/3/2020,AQS,560050123,1,1.9,ppb,1,Thunder Basin,19,79,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/4/2020,AQS,560050123,1,2.1,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/5/2020,AQS,560050123,1,1,ppb,1,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/6/2020,AQS,560050123,1,2,ppb,2,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/7/2020,AQS,560050123,1,2,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/8/2020,AQS,560050123,1,2.1,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
3/9/2020,AQS,560050123,1,3.9,ppb,3,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
